Col1,Col2,
23117605,23117605,
23131705,23131705,
23148292,23148292,
23151579,23151579,
23151676,23151676,
23152087,23152087,
24029661,24029661,
24038318,24038318,
24050474,24050474,
24050539,24050539,
24053058,24053058,
24057711,24057711,
24057738,24057738,
24061263,24061263,
24062227,24062227,
24069493,24069493,
24069523,24069523,
24069868,24069868,
24074748,24074748,
24078387,24078387,
24078492,24078492,
24078506,24078506,
24078514,24078514,
24078786,24078786,
24078875,24078875,
24079014,24079014,
24079219,24079219,
24080241,24080039,
24082627,24080241,
24082767,24082627,
24082872,24082767,
24082902,24082872,
24082929,24082902,
24083178,24082929,
,24083178,
